,AAL,AZN,BG,BP,GSK,HSBC,PRU,RIO,TSCO,VOD
2015-01-01,53.63,35.19,90.91,38.12,42.74,47.23,90.46,46.06,78.82,34.17
2015-01-02,53.91,35.2,91.16,38.12,42.37,47.07,90.11,45.72,78.07,34.03
2015-01-03,53.91,35.2,91.16,38.12,42.37,47.07,90.11,45.72,78.07,34.03
2015-01-04,53.91,35.2,91.16,38.12,42.37,47.07,90.11,45.72,78.07,34.03
2015-01-05,53.875,34.93,89.31,36.1,41.91,45.99,87.25,44.43,76.47,32.83
2015-01-06,53.04,34.08,88.47,35.83,41.68,45.32,85.44,44.96,75.3,32.62
2015-01-07,53.01,34.045,88.93,35.92,42.11,45.67,85.49,45.38,77.74,32.84
2015-01-08,53.66,34.535,90.56,36.73,43.19,45.82,86.86,45.69,80.915,33.99
2015-01-09,52.02,34.72,89.46,36.58,42.8,45.58,85.32,45.53,79.92,34.01
2015-01-10,52.02,34.72,89.46,36.58,42.8,45.58,85.32,45.53,79.92,34.01
2015-01-11,52.02,34.72,89.46,36.58,42.8,45.58,85.32,45.53,79.92,34.01
2015-01-12,49.58,35.395,88.84,36.05,42.93,45.62,84.21,44.57,79.26,34.32
2015-01-13,50.4,35.38,89.88,35.96,42.91,45.71,83.38,43.88,78.57,34.49
2015-01-14,49.41,35.63,89.83,35.67,42.85,45.24,81.18,42.95,77.36,34.41
2015-01-15,49.41,35.65,90.56,35.73,42.91,45.26,79.78,43.1,75.2,34.315
2015-01-16,49.81,36.025,91.96,37.86,43.7,45.24,81.0,44.2,76.52,34.59
2015-01-17,49.81,36.025,91.96,37.86,43.7,45.24,81.0,44.2,76.52,34.59
2015-01-18,49.81,36.025,91.96,37.86,43.7,45.24,81.0,44.2,76.52,34.59
2015-01-19,49.81,36.025,91.96,37.86,43.7,45.24,81.0,44.2,76.52,34.59
2015-01-20,52.75,35.89,90.81,37.69,44.16,45.36,80.51,43.97,75.69,35.02
2015-01-21,53.67,35.535,91.61,38.82,44.71,45.76,80.6,44.56,77.09,36.03
2015-01-22,55.59,35.315,92.04,38.98,44.96,46.84,82.22,44.9,79.73,36.01
2015-01-23,55.69,35.345,91.9,38.9,45.01,46.83,80.69,43.08,79.715,35.93
2015-01-24,55.69,35.345,91.9,38.9,45.01,46.83,80.69,43.08,79.715,35.93
2015-01-25,55.69,35.345,91.9,38.9,45.01,46.83,80.69,43.08,79.715,35.93
2015-01-26,55.45,35.285,92.31,39.92,45.19,47.31,80.75,43.67,81.78,36.01
2015-01-27,52.695,35.945,91.94,40.21,45.16,46.97,79.47,43.76,80.56,35.91
2015-01-28,50.62,35.505,90.84,38.88,44.99,46.51,76.99,43.27,79.86,35.54
2015-01-29,52.24,35.945,91.5,38.75,45.16,46.68,76.96,44.29,83.29,35.94
2015-01-30,49.08,35.52,89.53,38.83,44.0,45.72,75.88,44.13,81.17,35.13
2015-01-31,49.08,35.52,89.53,38.83,44.0,45.72,75.88,44.13,81.17,35.13
2015-02-01,49.08,35.52,89.53,38.83,44.0,45.72,75.88,44.13,81.17,35.13
2015-02-02,48.72,35.305,90.6,39.86,43.96,46.09,78.12,45.18,81.365,35.18
2015-02-03,47.5,35.555,90.2,41.1,44.26,46.85,80.09,47.33,83.11,35.91
2015-02-04,49.46,35.53,89.71,40.45,44.95,46.7,79.89,46.27,83.36,35.75
2015-02-05,48.81,34.625,91.47,41.38,45.95,47.07,75.32,47.44,83.5,35.18
2015-02-06,48.145,33.845,90.67,41.17,46.0,47.08,77.8,46.24,82.93,35.09
2015-02-07,48.145,33.845,90.67,41.17,46.0,47.08,77.8,46.24,82.93,35.09
2015-02-08,48.145,33.845,90.67,41.17,46.0,47.08,77.8,46.24,82.93,35.09
2015-02-09,46.53,33.86,90.31,41.61,46.39,46.37,77.26,47.0,82.43,34.7
2015-02-10,48.05,34.125,91.34,41.25,46.25,45.62,78.08,45.79,83.25,35.24
2015-02-11,47.59,34.22,91.48,40.35,46.21,45.42,79.19,45.8,82.44,35.03
2015-02-12,47.88,34.88,80.44,41.34,45.95,46.14,78.7,47.15,83.27,35.71
2015-02-13,48.39,34.98,82.22,41.93,47.94,46.13,80.33,49.37,84.26,35.85
2015-02-14,48.39,34.98,82.22,41.93,47.94,46.13,80.33,49.37,84.26,35.85
2015-02-15,48.39,34.98,82.22,41.93,47.94,46.13,80.33,49.37,84.26,35.85
2015-02-16,48.39,34.98,82.22,41.93,47.94,46.13,80.33,49.37,84.26,35.85
2015-02-17,48.01,34.805,82.72,41.78,47.71,46.26,80.95,49.37,84.57,35.47
2015-02-18,49.31,33.78,82.89,41.75,47.3,46.67,79.56,49.35,84.88,34.85
2015-02-19,49.78,33.97,82.5,41.19,47.03,46.25,80.3,49.61,85.57,35.22
2015-02-20,51.02,34.29,82.72,41.28,47.35,46.68,80.81,49.94,88.12,35.91
2015-02-21,51.02,34.29,82.72,41.28,47.35,46.68,80.81,49.94,88.12,35.91
2015-02-22,51.02,34.29,82.72,41.28,47.35,46.68,80.81,49.94,88.12,35.91
2015-02-23,51.31,34.65,82.83,41.22,47.29,44.68,80.42,48.57,88.38,35.98
2015-02-24,51.52,34.66,82.57,41.59,47.7,45.04,81.53,49.42,89.06,34.81
2015-02-25,49.73,34.835,82.05,41.91,47.72,44.77,80.87,49.17,89.975,34.605
2015-02-26,49.35,34.505,81.31,41.36,47.84,44.85,81.11,49.3,88.88,34.58
2015-02-27,47.9,34.45,81.78,41.44,47.42,44.62,80.85,49.33,88.12,34.56
2015-02-28,47.9,34.45,81.78,41.44,47.42,44.62,80.85,49.33,88.12,34.56
2015-03-01,47.9,34.45,81.78,41.44,47.42,44.62,80.85,49.33,88.12,34.56
2015-03-02,48.31,34.365,81.6,41.3,47.93,44.87,82.15,48.47,89.31,34.58
2015-03-03,48.77,34.14,81.39,41.74,47.71,44.81,81.5,48.25,86.58,34.62
2015-03-04,48.95,33.895,82.02,41.53,47.82,43.76,80.6,46.12,85.13,34.6
2015-03-05,48.395,34.09,82.3,41.18,47.6,43.59,81.01,45.47,85.35,34.37
2015-03-06,47.995,33.135,80.8,40.35,46.73,42.81,82.6,44.23,84.68,32.97
2015-03-07,47.995,33.135,80.8,40.35,46.73,42.81,82.6,44.23,84.68,32.97
2015-03-08,47.995,33.135,80.8,40.35,46.73,42.81,82.6,44.23,84.68,32.97
2015-03-09,47.92,33.085,80.26,40.28,47.06,42.95,82.64,44.12,85.38,33.02
2015-03-10,46.735,32.285,79.74,39.04,46.03,42.35,79.87,42.91,84.06,32.45
2015-03-11,47.39,32.22,78.86,38.23,45.63,42.05,80.46,42.53,84.73,32.3
2015-03-12,48.68,33.425,79.66,38.16,46.37,41.97,82.33,42.68,87.25,32.4
2015-03-13,49.22,33.675,79.41,37.6,46.37,41.55,81.14,41.9,86.26,32.37
2015-03-14,49.22,33.675,79.41,37.6,46.37,41.55,81.14,41.9,86.26,32.37
2015-03-15,49.22,33.675,79.41,37.6,46.37,41.55,81.14,41.9,86.26,32.37
2015-03-16,50.22,34.36,79.53,37.55,46.97,41.75,83.07,42.51,88.32,32.9
2015-03-17,53.69,34.365,78.96,37.82,47.23,42.25,82.32,42.55,87.72,32.7
2015-03-18,54.13,35.435,80.06,39.35,48.74,43.09,81.83,42.94,88.2,33.53
2015-03-19,55.19,35.45,79.03,38.97,48.21,42.57,80.21,42.08,88.01,33.15
2015-03-20,55.76,36.35,80.19,40.1,48.81,43.56,82.68,43.58,88.945,33.96
2015-03-21,55.76,36.35,80.19,40.1,48.81,43.56,82.68,43.58,88.945,33.96
