,AAL,ADM,AXP,AZN,BG,BP,DIS,FDX,GSK,HSBC,IBM,INTC,KO,MAT,MSFT,PG,PRU,RIO,TSCO,VOD
2010-01-01,20.6961,31.31,40.52,23.47,63.83,57.97,32.25,83.45,42.25,57.09,130.9,20.4,28.5,19.98,30.48,60.63,49.76,53.8475,13.2425,28.8376
2010-01-02,20.6961,31.31,40.52,23.47,63.83,57.97,32.25,83.45,42.25,57.09,130.9,20.4,28.5,19.98,30.48,60.63,49.76,53.8475,13.2425,28.8376
2010-01-03,20.6961,31.31,40.52,23.47,63.83,57.97,32.25,83.45,42.25,57.09,130.9,20.4,28.5,19.98,30.48,60.63,49.76,53.8475,13.2425,28.8376
2010-01-04,20.6693,31.47,40.92,23.705,64.65,59.15,32.07,83.45,42.97,58.32,132.45,20.88,28.52,19.99,30.95,61.12,51.77,56.0275,13.335,28.9625
2010-01-05,22.3829,31.64,40.83,23.225,66.88,59.57,31.99,84.54,41.83,59.25,130.85,20.87,28.175,19.58,30.96,61.14,52.79,56.9025,13.195,28.7502
2010-01-06,21.7135,31.56,41.49,23.04,69.05,59.88,31.82,83.84,41.34,59.32,130.0,20.8,28.165,19.5,30.77,60.85,53.41,58.6375,13.1675,28.5254
2010-01-07,22.0884,31.23,41.98,23.29,70.93,59.86,31.83,82.93,41.48,59.13,129.55,20.6,28.095,20.0,30.452,60.52,54.27,58.6475,13.3475,27.9883
2010-01-08,21.7135,30.84,41.95,23.39,71.29,60.0,31.88,84.99,41.1,59.0,130.85,20.83,27.575,19.77,30.66,60.44,53.56,59.3,13.34,27.5637
2010-01-09,21.7135,30.84,41.95,23.39,71.29,60.0,31.88,84.99,41.1,59.0,130.85,20.83,27.575,19.77,30.66,60.44,53.56,59.3,13.34,27.5637
2010-01-10,21.7135,30.84,41.95,23.39,71.29,60.0,31.88,84.99,41.1,59.0,130.85,20.83,27.575,19.77,30.66,60.44,53.56,59.3,13.34,27.5637
2010-01-11,21.5529,30.86,41.47,23.81,70.28,61.89,31.36,87.25,41.63,59.04,129.48,20.95,28.135,19.9,30.27,60.2,53.49,58.785,13.2325,27.9633
2010-01-12,20.9103,30.53,42.02,23.7,68.61,61.5,30.82,86.58,41.71,58.8,130.51,20.608,28.44,19.35,30.07,60.89,53.05,57.0375,13.2375,27.9259
2010-01-13,21.66,30.66,42.15,24.255,68.13,61.8,31.29,85.82,41.71,58.86,130.23,20.96,28.515,19.99,30.35,61.52,53.8,58.485,13.3225,28.2631
2010-01-14,22.1954,30.74,42.68,24.695,68.07,61.73,31.02,86.29,41.98,58.56,132.31,21.48,28.565,20.48,30.96,61.58,54.08,59.465,13.21,28.1007
