,HSBC,VOD
2005-03-01,83.0,43.7173
2005-03-02,82.1,43.7336
2005-03-03,82.49,43.7663
2005-03-04,82.62,44.3698
2005-03-07,82.02,44.5166
2005-03-08,82.5,44.6961
2005-03-09,82.02,44.0925
2005-03-10,81.85,43.6358
2005-03-11,81.83,43.7826
2005-03-14,82.13,43.2932
2005-03-15,81.88,43.3258
2005-03-16,80.46,43.5542
2005-03-17,80.58,43.5053
2005-03-18,80.37,43.489
2005-03-21,80.39,43.4726
2005-03-22,79.39,42.9833
2005-03-23,79.22,42.8691
2005-03-24,78.9,43.5542
2005-03-25,78.9,43.5542
2005-03-28,79.23,43.6358
2005-03-29,78.33,42.918
2005-03-30,79.4,43.5868
2005-03-31,79.4,43.3258
2005-04-01,78.62,42.967
2005-04-04,78.57,43.1464
2005-04-05,78.68,43.3095
2005-04-06,79.1,42.8691
2005-04-07,79.05,43.6195
2005-04-08,79.45,43.3095
2005-04-11,79.58,43.5705
2005-04-12,79.86,43.5216
2005-04-13,79.73,43.4074
2005-04-14,79.34,43.0159
2005-04-15,78.84,42.3634
2005-04-18,78.85,42.5918
2005-04-19,79.46,42.9833
2005-04-20,78.65,42.3634
2005-04-21,79.28,42.9833
2005-04-22,79.2,42.6407
2005-04-25,79.91,42.9017
2005-04-26,79.83,42.1676
2005-04-27,79.9,42.3145
2005-04-28,79.43,41.9719
2005-04-29,80.05,42.6407
2005-05-02,79.97,42.5591
2005-05-03,80.39,42.6407
2005-05-04,81.32,43.6195
2005-05-05,81.39,43.0648
2005-05-06,81.26,42.8691
2005-05-09,81.28,42.6896
2005-05-10,80.51,42.2166
2005-05-11,80.9,42.657
2005-05-12,80.05,42.2166
2005-05-13,79.6,42.2166
2005-05-16,79.98,41.8251
2005-05-17,80.12,41.9393
2005-05-18,79.79,41.9393
2005-05-19,79.58,42.4613
2005-05-20,79.65,43.5379
2005-05-23,79.73,43.8315
2005-05-24,79.57,41.3357
2005-05-25,79.43,41.0258
2005-05-26,79.5,41.2868
2005-05-27,79.41,41.3031
2005-05-30,79.41,41.3031
2005-05-31,79.36,41.0747
2005-06-01,79.77,41.5967
2005-06-02,79.81,40.4548
2005-06-03,79.2,40.3896
2005-06-06,79.77,40.2591
2005-06-07,79.82,41.14
2005-06-08,79.67,40.4222
2005-06-09,79.96,40.6669
2005-06-10,79.97,40.0797
2005-06-13,80.02,39.6882
2005-06-14,80.1,39.9818
2005-06-15,80.25,40.5038
2005-06-16,80.04,40.5038
2005-06-17,80.3,40.7811
2005-06-20,80.33,40.618
2005-06-21,80.28,40.7322
2005-06-22,81.06,40.7322
2005-06-23,81.09,39.9492
2005-06-24,81.12,39.8676
2005-06-27,81.06,39.8187
2005-06-28,81.22,39.8676
2005-06-29,81.09,40.3243
2005-06-30,79.65,39.6718
2005-07-01,79.7,39.4272
2005-07-04,79.7,39.4272
2005-07-05,79.98,38.9867
2005-07-06,79.82,39.4761
2005-07-07,79.0,39.2314
2005-07-08,79.55,39.7697
2005-07-11,80.01,40.4875
2005-07-12,79.97,41.2541
2005-07-13,80.51,41.1889
2005-07-14,80.77,41.2052
2005-07-15,80.53,40.9442
2005-07-18,80.15,40.3243
2005-07-19,80.39,40.3733
2005-07-20,80.82,40.4548
2005-07-21,81.6,40.5364
2005-07-22,81.53,40.7485
2005-07-25,81.72,41.3846
2005-07-26,81.69,42.1676
2005-07-27,81.78,42.2003
2005-07-28,81.48,42.4776
2005-07-29,80.99,42.135
2005-08-01,82.65,42.0045
2005-08-02,82.81,42.3308
2005-08-03,82.53,42.2981
2005-08-04,81.9,42.0208
2005-08-05,82.1,42.135
2005-08-08,82.42,42.445
2005-08-09,82.28,42.6081
2005-08-10,82.67,42.7875
2005-08-11,83.23,43.5705
2005-08-12,83.03,43.8641
2005-08-15,83.22,44.5656
2005-08-16,82.71,44.1251
2005-08-17,82.2,44.4677
2005-08-18,81.3,44.3535
2005-08-19,81.47,45.2344
2005-08-22,81.45,45.3975
2005-08-23,80.83,45.1528
2005-08-24,80.21,44.5982
2005-08-25,80.44,44.5329
2005-08-26,80.23,43.962
2005-08-29,80.33,43.9457
2005-08-30,79.93,44.011
2005-08-31,80.84,44.4514
2005-09-01,81.22,45.0876
2005-09-02,81.55,45.006
2005-09-05,81.55,45.006
2005-09-06,81.84,45.2996
2005-09-07,82.29,44.9897
2005-09-08,81.64,44.8592
2005-09-09,81.96,44.8918
2005-09-12,81.59,44.8918
2005-09-13,81.69,44.6145
2005-09-14,81.55,45.1691
2005-09-15,81.2,45.5117
2005-09-16,81.33,45.7401
2005-09-19,81.11,44.5656
2005-09-20,80.78,43.7989
2005-09-21,80.61,43.2606
2005-09-22,80.8,43.1953
2005-09-23,80.85,43.5705
2005-09-26,80.95,43.0811
2005-09-27,80.9,42.9996
2005-09-28,81.18,42.9506
2005-09-29,81.75,42.7223
2005-09-30,81.23,42.3634
2005-10-03,81.23,42.0371
2005-10-04,80.78,42.9343
2005-10-05,80.12,43.0485
2005-10-06,79.77,43.3585
2005-10-07,79.81,43.0811
2005-10-10,79.53,42.9343
2005-10-11,79.3,42.5755
2005-10-12,78.55,42.4286
2005-10-13,78.63,42.0535
2005-10-14,79.12,42.3797
2005-10-17,78.53,41.9066
2005-10-18,78.1,41.5315
2005-10-19,78.45,41.8414
2005-10-20,77.48,40.569
2005-10-21,77.77,40.7811
2005-10-24,78.56,41.352
2005-10-25,78.31,41.5315
2005-10-26,78.45,41.0095
2005-10-27,77.8,40.8627
2005-10-28,78.19,41.6946
2005-10-31,78.76,42.8365
2005-11-01,78.85,42.967
2005-11-02,79.39,43.4726
2005-11-03,79.44,43.3421
2005-11-04,79.21,42.5755
2005-11-07,79.48,42.8365
2005-11-08,79.35,43.0975
2005-11-09,79.75,42.7712
2005-11-10,80.46,42.2329
2005-11-11,80.82,41.5478
2005-11-14,80.5,41.0258
2005-11-15,80.3,36.2136
2005-11-16,80.16,35.8874
2005-11-17,81.0,35.8874
2005-11-18,81.57,35.5285
2005-11-21,81.51,35.3654
2005-11-22,81.26,35.2022
2005-11-23,81.51,35.7569
2005-11-24,81.51,35.7569
2005-11-25,80.94,35.871
2005-11-28,81.0,35.4632
2005-11-29,80.6,35.4795
2005-11-30,79.94,35.1533
2005-12-01,81.2,35.4795
2005-12-02,81.26,34.7292
2005-12-05,81.05,35.4143
2005-12-06,80.59,35.61
2005-12-07,80.57,36.3115
2005-12-08,80.25,36.654
2005-12-09,80.41,36.8335
2005-12-12,80.9,36.964
2005-12-13,81.25,36.0342
2005-12-14,81.46,36.4094
2005-12-15,81.32,35.9363
2005-12-16,81.39,35.5448
2005-12-19,81.21,34.9575
2005-12-20,81.47,35.2512
2005-12-21,81.36,34.876
2005-12-22,81.41,35.0717
2005-12-23,81.37,34.9249
2005-12-26,81.37,34.9249
2005-12-27,80.92,34.9086
2005-12-28,80.62,35.2022
2005-12-29,80.57,35.3001
2005-12-30,80.47,35.0228
2006-01-02,80.47,35.0228
2006-01-03,81.68,36.1647
2006-01-04,81.98,36.7845
2006-01-05,82.64,36.8009
2006-01-06,84.03,38.1548
2006-01-09,85.52,37.698
2006-01-10,84.76,37.4534
2006-01-11,84.82,37.1434
2006-01-12,84.36,36.9966
2006-01-13,84.73,36.7845
2006-01-16,84.73,36.7845
2006-01-17,84.04,35.7732
2006-01-18,83.29,35.7405
2006-01-19,84.08,34.9902
2006-01-20,82.8,34.0277
2006-01-23,82.87,35.1696
2006-01-24,82.67,34.4192
2006-01-25,82.98,35.0717
