,ADM,AXP,DIS,FDX,IBM,INTC,KO,MAT,MSFT,PG
2005-01-03,21.96,48.958,27.3229,97.4,97.75,23.07,20.77,19.17,26.74,55.19
2005-01-10,21.72,48.2224,27.0286,95.66,96.7,22.61,20.48,19.19,26.84,54.5
2005-01-17,21.71,46.7338,26.6951,95.41,95.0,22.54,20.58,18.88,26.73,56.3
2005-01-24,23.19,46.5849,28.1961,93.85,94.9,22.94,20.625,19.3,26.32,55.99
2005-01-31,22.65,46.7951,28.255,94.51,92.19,22.26,20.62,18.63,26.02,55.73
2005-02-07,23.99,49.6936,28.255,95.72,93.86,22.63,20.71,19.63,26.39,52.87
2005-02-14,23.73,48.2224,29.2753,96.79,94.13,23.41,21.325,20.94,26.24,51.98
2005-02-21,24.4,47.7233,29.0202,97.18,94.33,24.47,21.325,20.78,25.93,53.48
2005-02-28,24.91,47.0928,27.892,95.64,92.32,23.76,21.395,20.5,25.23,52.25
2005-03-07,24.39,47.9948,27.941,98.1,93.3,24.62,21.635,20.94,25.28,53.51
2005-03-14,24.88,47.6532,27.9901,100.73,92.13,24.8,21.71,21.0,25.4,53.35
2005-03-21,24.6,46.8476,28.0587,98.63,91.38,23.88,21.12,20.67,24.91,52.92
2005-03-28,23.7,44.816,27.2543,94.65,89.5,23.02,20.7,20.35,23.99,52.05
2005-04-04,24.42,44.5797,27.372,93.21,90.6,23.15,20.695,21.24,23.92,51.86
2005-04-11,24.0,44.9562,27.9999,92.89,89.57,23.13,20.93,20.96,24.47,54.0
2005-04-18,21.81,45.8144,27.6075,91.82,85.75,23.22,21.165,20.86,25.32,55.52
2005-04-25,20.5,44.2644,26.6362,85.05,75.48,22.63,21.2,18.93,24.63,54.33
2005-05-02,21.12,45.1402,26.2928,84.63,75.43,23.32,21.48,18.33,24.76,53.37
2005-05-09,19.05,46.4098,25.7532,84.88,76.47,23.83,21.88,18.04,25.36,54.9
2005-05-16,19.28,45.9545,26.44,86.45,73.3,24.67,22.115,18.01,24.9,54.88
2005-05-23,19.53,46.1735,26.7637,87.53,74.29,25.7,22.2,18.34,25.46,55.63
2005-05-30,20.09,46.4187,27.1365,88.68,75.81,26.96,22.51,18.68,25.76,56.0
2005-06-06,19.85,47.303,26.9207,89.42,75.55,26.96,22.315,18.18,25.8,55.15
2005-06-13,20.69,47.8722,26.7735,89.96,75.04,26.86,22.055,18.29,25.51,55.45
2005-06-20,20.96,48.1611,27.1169,85.17,74.89,27.15,21.865,18.37,25.36,54.39
2005-06-27,21.53,47.9422,26.2241,88.23,76.41,27.18,21.84,18.47,25.15,54.33
2005-07-04,21.29,47.3468,25.3706,81.56,75.3,26.33,21.435,17.97,25.07,53.33
2005-07-11,21.23,47.3205,24.5661,83.0,74.79,26.68,21.2,18.48,24.98,52.75
2005-07-18,20.9,47.3293,24.9291,82.7,80.04,27.75,21.41,18.88,25.61,53.94
2005-07-25,21.74,46.8915,25.2725,82.16,83.7,28.71,21.665,18.66,26.16,54.88
2005-08-01,21.86,47.5306,25.3902,84.65,84.12,26.89,21.845,18.51,25.54,55.11
2005-08-08,21.93,48.5639,25.0763,85.5,83.31,27.56,22.14,18.65,26.81,55.36
2005-08-15,20.56,48.6778,25.6453,84.63,83.5,26.9,22.05,18.21,27.35,53.94
2005-08-22,20.66,49.0893,25.763,84.36,81.3,26.0,21.65,17.86,26.74,53.58
2005-08-29,22.32,49.0368,25.3117,82.51,82.03,25.72,22.095,17.66,26.87,55.4
2005-09-05,22.34,48.3363,24.8114,81.37,80.54,25.57,21.695,17.85,27.18,55.4
2005-09-12,23.76,49.9388,24.6937,81.35,81.02,25.7,22.26,18.13,27.0,56.57
2005-09-19,22.93,50.5604,24.3405,80.02,80.75,24.9,21.83,18.39,26.48,55.54
